"URL","CATEGORY"
"http://en.wikipedia.org/wiki/%C3%96tzi_the_Iceman","Anthropology"
"http://en.wikipedia.org/wiki/%C3%96tzi_the_Iceman","Archaeological artefacts"
"http://en.wikipedia.org/wiki/%C3%96tzi_the_Iceman","Curses"
"http://en.wikipedia.org/wiki/%C3%96tzi_the_Iceman","Mummies"
"http://en.wikipedia.org/wiki/%C3%9Atgar%C3%B0a-Loki","Norse giants"
"http://en.wikipedia.org/wiki/%E2%80%9CIf_This_Goes_On%E2%80%94%E2%80%9D","Dystopian novels"
"http://en.wikipedia.org/wiki/%E2%80%9CIf_This_Goes_On%E2%80%94%E2%80%9D","Short stories by Robert A. Heinlein"
"http://en.wikipedia.org/wiki/10th_millennium_BC","10th millennium BC"
"http://en.wikipedia.org/wiki/10th_millennium_BC","Millennia"
"http://en.wikipedia.org/wiki/13_%28number%29","Integers"
"http://en.wikipedia.org/wiki/16-bit","Data unit"
"http://en.wikipedia.org/wiki/16550_UART","Integrated circuits"
"http://en.wikipedia.org/wiki/1896_Summer_Olympics","1896 Summer Olympics"
"http://en.wikipedia.org/wiki/1903_World_Series","1903 in baseball"
"http://en.wikipedia.org/wiki/1920s","1920s"
"http://en.wikipedia.org/wiki/1924_Winter_Olympics","1924 Winter Olympics"
"http://en.wikipedia.org/wiki/1924_Winter_Olympics","1924 Winter Olympics events"
"http://en.wikipedia.org/wiki/1948_Arab-Israeli_War","1948 Arab-Israeli War"
"http://en.wikipedia.org/wiki/1948_Summer_Olympics","1948 Summer Olympics"
"http://en.wikipedia.org/wiki/1952_Summer_Olympics","1952 Summer Olympics"
"http://en.wikipedia.org/wiki/1956_Summer_Olympics","1956 Summer Olympics"
"http://en.wikipedia.org/wiki/1956_Summer_Olympics","Australian sporting events"
"http://en.wikipedia.org/wiki/1966_FIFA_World_Cup_Final","1966 FIFA World Cup"
"http://en.wikipedia.org/wiki/1966_FIFA_World_Cup_Final","History of English football"
"http://en.wikipedia.org/wiki/1976_Summer_Olympics","1976 in sports"
"http://en.wikipedia.org/wiki/1990s","1990s"
"http://en.wikipedia.org/wiki/1992_Summer_Olympics","1992 Summer Olympics"
"http://en.wikipedia.org/wiki/1994","1994"
"http://en.wikipedia.org/wiki/1996_Summer_Olympics","1996 Summer Olympics"
"http://en.wikipedia.org/wiki/1996_Summer_Olympics","1996 in sports"
"http://en.wikipedia.org/wiki/1996_Summer_Olympics","History of Atlanta"
"http://en.wikipedia.org/wiki/1998","1998"
"http://en.wikipedia.org/wiki/2000","2000"
"http://en.wikipedia.org/wiki/2001","2001"
"http://en.wikipedia.org/wiki/2001_Tour_de_France","2001 in cycle racing"
"http://en.wikipedia.org/wiki/2001_World_Series","2001 in baseball"
"http://en.wikipedia.org/wiki/2001_anthrax_attacks","2001 anthrax attacks"
"http://en.wikipedia.org/wiki/2001_anthrax_attacks","History of New Jersey"
"http://en.wikipedia.org/wiki/2001_anthrax_attacks","Terrorist incidents in 2001"
"http://en.wikipedia.org/wiki/2001_anthrax_attacks","Terrorist incidents in the United States"
"http://en.wikipedia.org/wiki/2001_anthrax_attacks","Unsolved murders"
"http://en.wikipedia.org/wiki/2002_Commonwealth_Games","2002 Commonwealth Games"
"http://en.wikipedia.org/wiki/2004_Summer_Olympics","2004 Summer Olympics"
"http://en.wikipedia.org/wiki/2006_Winter_Olympics","2006 Winter Olympics"
"http://en.wikipedia.org/wiki/24_%28TV_series%29","24 (TV series)"
"http://en.wikipedia.org/wiki/253_Mathilde","Asteroids visited by spacecraft"
"http://en.wikipedia.org/wiki/253_Mathilde","C-type asteroids"
"http://en.wikipedia.org/wiki/253_Mathilde","Main Belt asteroids"
"http://en.wikipedia.org/wiki/2600:_The_Hacker_Quarterly","2600: The Hacker Quarterly"
"http://en.wikipedia.org/wiki/2nd_millennium","Millennia"
"http://en.wikipedia.org/wiki/3753_Cruithne","Aten asteroids"
"http://en.wikipedia.org/wiki/3753_Cruithne","Earth-crosser asteroids"
"http://en.wikipedia.org/wiki/3_Juno","Asteroids named from Roman mythology"
"http://en.wikipedia.org/wiki/3_Juno","Juno asteroids"
"http://en.wikipedia.org/wiki/3_Juno","S-type asteroids"
"http://en.wikipedia.org/wiki/3rd_millennium_BC","3rd millennium BC"
"http://en.wikipedia.org/wiki/3rd_millennium_BC","Millennia"
"http://en.wikipedia.org/wiki/401%28k%29","United States federal taxation legislation"
"http://en.wikipedia.org/wiki/4179_Toutatis","Alinda asteroids"
"http://en.wikipedia.org/wiki/4179_Toutatis","Apollo asteroids"
"http://en.wikipedia.org/wiki/4179_Toutatis","S-type asteroids"
"http://en.wikipedia.org/wiki/42nd_Street_%28Manhattan%29","Lincoln Highway"
"http://en.wikipedia.org/wiki/42nd_Street_%28Manhattan%29","Streets in Manhattan"
"http://en.wikipedia.org/wiki/433_Eros","Amor asteroids"
"http://en.wikipedia.org/wiki/433_Eros","Asteroids visited by spacecraft"
"http://en.wikipedia.org/wiki/433_Eros","S-type asteroids"
"http://en.wikipedia.org/wiki/588_Achilles","Jupiter Trojans (Greek camp)"
"http://en.wikipedia.org/wiki/61_Cygni","Flamsteed objects"
"http://en.wikipedia.org/wiki/61_Cygni","HD and HDE objects"
"http://en.wikipedia.org/wiki/8th_millennium_BC","8th millennium BC"
"http://en.wikipedia.org/wiki/8th_millennium_BC","Millennia"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","1912 births"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","2000 deaths"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","American science fiction writers"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","Canadian science fiction writers"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","Deaths from Alzheimer's Disease"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","Nebula Grand Masters"
"http://en.wikipedia.org/wiki/A._E._van_Vogt","Science Fiction Hall of Fame"
"http://en.wikipedia.org/wiki/AGM-88_HARM","Anti-radiation missiles of Germany"
"http://en.wikipedia.org/wiki/AGM-88_HARM","Anti-radiation missiles of the United States"
"http://en.wikipedia.org/wiki/AIM-7_Sparrow","American Cold War air-to-air missiles"
"http://en.wikipedia.org/wiki/AIM-7_Sparrow","Naval surface-to-air missiles of the United States"
"http://en.wikipedia.org/wiki/AMC_Gremlin","AMC vehicles"
"http://en.wikipedia.org/wiki/AMD64","AMD products"
"http://en.wikipedia.org/wiki/ARA_General_Belgrano","Cold War cruisers of Argentina"
"http://en.wikipedia.org/wiki/ARA_General_Belgrano","Falklands War"
"http://en.wikipedia.org/wiki/ARA_General_Belgrano","Shipwrecks of the Falkland Islands"
"http://en.wikipedia.org/wiki/ARM_architecture","ARM architecture"
"http://en.wikipedia.org/wiki/AT_Attachment","Advanced Technology Attachment"
"http://en.wikipedia.org/wiki/A_Better_Tomorrow","1986 films"
"http://en.wikipedia.org/wiki/A_Better_Tomorrow","Action films"
"http://en.wikipedia.org/wiki/A_Better_Tomorrow","Hong Kong films"
"http://en.wikipedia.org/wiki/A_Bridge_Too_Far","1977 films"
"http://en.wikipedia.org/wiki/A_Bridge_Too_Far","British films"
"http://en.wikipedia.org/wiki/A_Bridge_Too_Far","Films based on actual events"
"http://en.wikipedia.org/wiki/A_Bridge_Too_Far","Military books"
"http://en.wikipedia.org/wiki/A_Bridge_Too_Far","World War II films"
"http://en.wikipedia.org/wiki/A_Christmas_Carol","1843 novels"
"http://en.wikipedia.org/wiki/A_Christmas_Carol","British novels"
"http://en.wikipedia.org/wiki/A_Christmas_Carol","Charles Dickens novels"
"http://en.wikipedia.org/wiki/A_Christmas_Carol","Christmas fiction"
"http://en.wikipedia.org/wiki/A_Christmas_Carol","Christmas films"
"http://en.wikipedia.org/wiki/A_Corner_in_Wheat","1909 films"
"http://en.wikipedia.org/wiki/A_Corner_in_Wheat","United States National Film Registry"
"http://en.wikipedia.org/wiki/A_Crown_of_Swords","1996 novels"
"http://en.wikipedia.org/wiki/A_Crown_of_Swords","Fantasy novels"
"http://en.wikipedia.org/wiki/A_Crown_of_Swords","Wheel of Time books"
"http://en.wikipedia.org/wiki/A_Dictionary_of_the_English_Language","1755 books"
"http://en.wikipedia.org/wiki/A_Dictionary_of_the_English_Language","Dictionaries"
"http://en.wikipedia.org/wiki/A_Dictionary_of_the_English_Language","Non-fictional British literature"
"http://en.wikipedia.org/wiki/A_Dictionary_of_the_English_Language","Samuel Johnson books"
"http://en.wikipedia.org/wiki/A_Fire_Upon_the_Deep","1992 novels"
"http://en.wikipedia.org/wiki/A_Fire_Upon_the_Deep","Hugo Award winning works"
"http://en.wikipedia.org/wiki/A_Fire_Upon_the_Deep","Science fiction novels"
"http://en.wikipedia.org/wiki/A_Fire_Upon_the_Deep","Space opera"
"http://en.wikipedia.org/wiki/A_Fire_Upon_the_Deep","Transhumanist books"
"http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives","1949 films"
"http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives","Best Picture Academy Award nominees"
"http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives","Drama films"
"http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives","Films based on fiction books"
"http://en.wikipedia.org/wiki/A_Letter_to_Three_Wives","Films directed by Joseph L. Mankiewicz"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","1590s plays"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","1935 films"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","1999 films"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","Best Picture Academy Award nominees"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","English Renaissance plays"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","Incidental music"
"http://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream","Shakespearean comedies"
"http://en.wikipedia.org/wiki/A_Modest_Proposal","1729 works"
"http://en.wikipedia.org/wiki/A_Modest_Proposal","Essays"
"http://en.wikipedia.org/wiki/A_Modest_Proposal","Satire"
"http://en.wikipedia.org/wiki/A_Modest_Proposal","pamphlets"
"http://en.wikipedia.org/wiki/A_Movie","1958 films"
"http://en.wikipedia.org/wiki/A_Movie","United States National Film Registry"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","1955 books"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","1958 films"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","Action films"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","British films"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","Disaster movies"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","Drama films"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","Films based on actual events"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","History books"
"http://en.wikipedia.org/wiki/A_Night_to_Remember","RMS Titanic"
"http://en.wikipedia.org/wiki/A_Severed_Head","1961 novels"
"http://en.wikipedia.org/wiki/A_Severed_Head","British novels"
"http://en.wikipedia.org/wiki/A_Severed_Head","Novels by Iris Murdoch"
"http://en.wikipedia.org/wiki/A_Short_History_of_the_Confederate_States_of_America","1890 books"
"http://en.wikipedia.org/wiki/A_Short_History_of_the_Confederate_States_of_America","American Civil War books"
"http://en.wikipedia.org/wiki/A_Short_History_of_the_Confederate_States_of_America","Confederate States of America"
"http://en.wikipedia.org/wiki/A_Short_History_of_the_Confederate_States_of_America","United States history books"
"http://en.wikipedia.org/wiki/A_Streetcar_Named_Desire","1947 plays"
"http://en.wikipedia.org/wiki/A_Streetcar_Named_Desire","A-level English Literature Set Texts"
"http://en.wikipedia.org/wiki/A_Streetcar_Named_Desire","Tennessee Williams plays"
"http://en.wikipedia.org/wiki/A_Terrible_Revenge","Aftermath of World War II"
"http://en.wikipedia.org/wiki/A_Terrible_Revenge","European history books"
"http://en.wikipedia.org/wiki/A_Vicious_Circle","1996 novels"
"http://en.wikipedia.org/wiki/A_Vindication_of_the_Rights_of_Woman","1792 books"
"http://en.wikipedia.org/wiki/A_Vindication_of_the_Rights_of_Woman","Feminism books"
"http://en.wikipedia.org/wiki/A_Walking_Tour_of_the_Shambles","2002 novels"
"http://en.wikipedia.org/wiki/A_Woman_Under_the_Influence","1974 films"
"http://en.wikipedia.org/wiki/A_Woman_Under_the_Influence","Films directed by John Cassavetes"
"http://en.wikipedia.org/wiki/A_Woman_Under_the_Influence","Films featuring a Best Actress Academy Award nominated performance"
"http://en.wikipedia.org/wiki/A_Woman_Under_the_Influence","United States National Film Registry"
"http://en.wikipedia.org/wiki/A_priori","Latin philosophical phrases"
"http://en.wikipedia.org/wiki/Aachen","Aachen"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","1922 births"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Copenhageners"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Danish scientists"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Living people"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Members and associates of the US National Academy of Sciences"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Members of the Pontifical Academy of Sciences"
"http://en.wikipedia.org/wiki/Aage_Niels_Bohr","Nobel Prize in Physics winners"
"http://en.wikipedia.org/wiki/Aaliyah","1979 births"
"http://en.wikipedia.org/wiki/Aaliyah","2001 deaths"
"http://en.wikipedia.org/wiki/Aaliyah","Aaliyah"
"http://en.wikipedia.org/wiki/Aaliyah","African-American actors"
"http://en.wikipedia.org/wiki/Aaliyah","African-American singers"
"http://en.wikipedia.org/wiki/Aaliyah","American dance musicians"
"http://en.wikipedia.org/wiki/Aaliyah","American dancers"
"http://en.wikipedia.org/wiki/Aaliyah","American female singers"
"http://en.wikipedia.org/wiki/Aaliyah","American film actors"
"http://en.wikipedia.org/wiki/Aaliyah","American rhythm and blues singers"
"http://en.wikipedia.org/wiki/Aaliyah","Burials at Ferncliff Cemetery and Mausoleum"
"http://en.wikipedia.org/wiki/Aaliyah","Entertainers who died in their 20s"
"http://en.wikipedia.org/wiki/Aaliyah","Native American actors"
"http://en.wikipedia.org/wiki/Aaliyah","Native American women"
"http://en.wikipedia.org/wiki/Aaliyah","People from Brooklyn"
"http://en.wikipedia.org/wiki/Aaliyah","People from Detroit"
"http://en.wikipedia.org/wiki/Aaliyah","Plane crash victims"
"http://en.wikipedia.org/wiki/Aaliyah","Rhythmic Top 40 acts"
"http://en.wikipedia.org/wiki/Aaliyah","Swing Mob"
"http://en.wikipedia.org/wiki/Aaron_Carter","1987 births"
"http://en.wikipedia.org/wiki/Aaron_Carter","7th Heaven actors"
"http://en.wikipedia.org/wiki/Aaron_Carter","Actor-singers"
"http://en.wikipedia.org/wiki/Aaron_Carter","American child singers"
"http://en.wikipedia.org/wiki/Aaron_Carter","American film actors"
"http://en.wikipedia.org/wiki/Aaron_Carter","American male singers"
"http://en.wikipedia.org/wiki/Aaron_Carter","American pop singers"
"http://en.wikipedia.org/wiki/Aaron_Carter","American television actors"
"http://en.wikipedia.org/wiki/Aaron_Carter","Film actors"
"http://en.wikipedia.org/wiki/Aaron_Carter","Fraternal twins"
"http://en.wikipedia.org/wiki/Aaron_Carter","Jewish American actors"
"http://en.wikipedia.org/wiki/Aaron_Carter","Jewish-American singers"
"http://en.wikipedia.org/wiki/Aaron_Carter","Living people"
"http://en.wikipedia.org/wiki/Aaron_Carter","People from Tampa"
"http://en.wikipedia.org/wiki/Aaron_Copland","1900 births"
"http://en.wikipedia.org/wiki/Aaron_Copland","1990 deaths"
"http://en.wikipedia.org/wiki/Aaron_Copland","20th century classical composers"
"http://en.wikipedia.org/wiki/Aaron_Copland","American composers"
"http://en.wikipedia.org/wiki/Aaron_Copland","American film score composers"
"http://en.wikipedia.org/wiki/Aaron_Copland","Bisexual musicians"
"http://en.wikipedia.org/wiki/Aaron_Copland","Congressional Gold Medal recipients"
"http://en.wikipedia.org/wiki/Aaron_Copland","Hollywood blacklist"
"http://en.wikipedia.org/wiki/Aaron_Copland","Jewish American musicians"
"http://en.wikipedia.org/wiki/Aaron_Copland","Jewish classical musicians"
"http://en.wikipedia.org/wiki/Aaron_Copland","Jewish composers and songwriters"
"http://en.wikipedia.org/wiki/Aaron_Copland","Modernist composers"
"http://en.wikipedia.org/wiki/Aaron_Copland","National Medal of Arts recipients"
"http://en.wikipedia.org/wiki/Aaron_Copland","People from Brooklyn"
"http://en.wikipedia.org/wiki/Aaron_Copland","Presidential Medal of Freedom recipients"
"http://en.wikipedia.org/wiki/Aaron_Copland","Pulitzer Prize winners"
"http://en.wikipedia.org/wiki/Abbadid","Abbadid"
"http://en.wikipedia.org/wiki/Abbas_Mirza","1789 births"
"http://en.wikipedia.org/wiki/Abbas_Mirza","1833 deaths"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","1936 births"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","1989 deaths"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Activists who committed suicide"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","American anarchists"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","American anti-Vietnam War activists"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","American non-fiction writers"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Brandeis University alumni"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Drug-related deaths"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Drug-related suicides"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Jewish American writers"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","People from Massachusetts"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","People with bipolar disorder"
"http://en.wikipedia.org/wiki/Abbie_Hoffman","Politicians who committed suicide"
"http://en.wikipedia.org/wiki/Abd-ar-Rahman_III","912 births"
"http://en.wikipedia.org/wiki/Abd-ar-Rahman_III","961 deaths"
"http://en.wikipedia.org/wiki/Abd_ar-Rahman_IV","1017 deaths"
"http://en.wikipedia.org/wiki/Abdul_Rashid_Dostum","1954 births"
"http://en.wikipedia.org/wiki/Abdul_Rashid_Dostum","Afghan people"
"http://en.wikipedia.org/wiki/Abdul_Rashid_Dostum","Living people"
"http://en.wikipedia.org/wiki/Abdul_Rashid_Dostum","Warlords"
"http://en.wikipedia.org/wiki/Abdulaziz_Alomari","2001 deaths"
"http://en.wikipedia.org/wiki/Abdulaziz_Alomari","Participants in the September 11, 2001 attacks"
"http://en.wikipedia.org/wiki/Abdulaziz_Alomari","Saudi Arabian terrorists"
"http://en.wikipedia.org/wiki/Abdur_Rahman_Khan","1844 births"
"http://en.wikipedia.org/wiki/Abdur_Rahman_Khan","1901 deaths"
"http://en.wikipedia.org/wiki/Abdur_Rahman_Khan","Knights Grand Commander of the Order of the Star of India"
"http://en.wikipedia.org/wiki/Abel_Tasman","1603 births"
"http://en.wikipedia.org/wiki/Abel_Tasman","1659 deaths"
"http://en.wikipedia.org/wiki/Abel_Tasman","Dutch explorers"
"http://en.wikipedia.org/wiki/Abel_Tasman","Explorers of Australia"
"http://en.wikipedia.org/wiki/Abel_Tasman","Explorers of the Pacific"
"http://en.wikipedia.org/wiki/Abelian_group","Abelian group theory"
"http://en.wikipedia.org/wiki/Abeyance","Abeyant peerages"
"http://en.wikipedia.org/wiki/Abhidhamma","Abhidhamma Pitaka"
"http://en.wikipedia.org/wiki/Abolitionism","Abolitionism"
"http://en.wikipedia.org/wiki/Abortion","Abortion"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","1809 births"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","1865 deaths"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Abraham Lincoln"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","American Civil War people"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","American autodidacts"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","American lawyers"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Assassinated American politicians"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Deaths by firearm"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Members of the Illinois House of Representatives"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Members of the United States House of Representatives from Illinois"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","People from Kentucky"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","People from Springfield, Illinois"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Presidents of the United States"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","Republican Party (United States) presidential nominees"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","United States Senate candidates"
"http://en.wikipedia.org/wiki/Abraham_Lincoln","United States Whig Party"
"http://en.wikipedia.org/wiki/Abraham_Robinson","1918 births"
"http://en.wikipedia.org/wiki/Abraham_Robinson","1974 deaths"
"http://en.wikipedia.org/wiki/Abraham_Robinson","20th century mathematicians"
"http://en.wikipedia.org/wiki/Abraham_Robinson","American mathematicians"
"http://en.wikipedia.org/wiki/Abraham_Robinson","German mathematicians"
"http://en.wikipedia.org/wiki/Abraham_Robinson","Jewish mathematicians"
"http://en.wikipedia.org/wiki/Abraham_Simpson","Fictional Freemasons"
"http://en.wikipedia.org/wiki/Abraham_Simpson","Fictional World War II veterans"
"http://en.wikipedia.org/wiki/Abraham_Simpson","Fictional soldiers"
"http://en.wikipedia.org/wiki/Abraham_Simpson","Simpsons characters"
